iter	Passed	Remaining
609	9956	6365
610	9973	6349
611	9990	6333
612	10007	6317
613	10024	6301
614	10040	6285
615	10056	6269
616	10072	6252
617	10089	6236
618	10104	6219
619	10119	6202
620	10133	6184
621	10149	6167
622	10163	6150
623	10179	6133
624	10194	6116
625	10208	6099
626	10223	6082
627	10237	6064
628	10253	6047
629	10269	6031
630	10285	6014
631	10300	5997
632	10315	5980
633	10330	5963
634	10344	5946
635	10359	5929
636	10374	5911
637	10388	5894
638	10403	5877
639	10417	5859
640	10432	5843
641	10446	5825
642	10460	5807
643	10474	5790
644	10488	5772
645	10503	5755
646	10518	5739
647	10534	5722
648	10548	5705
649	10562	5687
650	10574	5669
651	10588	5651
652	10600	5633
653	10613	5615
654	10627	5597
655	10642	5580
656	10657	5563
657	10673	5547
658	10690	5531
659	10708	5516
660	10727	5501
661	10750	5488
662	10770	5474
663	10788	5459
664	10812	5446
665	10827	5429
666	10843	5413
667	10858	5396
668	10873	5380
669	10889	5363
670	10908	5348
671	10924	5332
672	10939	5315
673	10955	5299
674	10971	5282
675	10987	5266
676	11002	5249
677	11018	5233
678	11033	5216
679	11048	5199
680	11064	5182
681	11081	5166
682	11096	5150
683	11112	5133
684	11129	5117
685	11145	5101
686	11162	5085
687	11178	5069
688	11195	5053
689	11210	5036
690	11225	5019
691	11242	5003
692	11257	4987
693	11273	4970
694	11289	4954
695	11304	4937
696	11319	4920
697	11333	4903
698	11346	4886
699	11362	4869
700	11378	4853
701	11394	4836
702	11410	4820
703	11425	4803
704	11441	4787
705	11457	4771
706	11472	4754
707	11488	4738
708	11504	4721
709	11519	4705
710	11534	4688
711	11549	4671
712	11564	4654
713	11579	4638
714	11594	4621
715	11609	4604
716	11623	4587
717	11638	4570
718	11654	4554
719	11670	4538
720	11684	4521
721	11699	4504
722	11713	4487
723	11728	4471
724	11742	4454
725	11757	4437
726	11773	4421
727	11788	4404
728	11803	4387
729	11818	4371
730	11833	4354
731	11847	4337
732	11861	4320
733	11876	4304
734	11891	4287
735	11907	4271
736	11923	4254
737	11938	4238
738	11954	4221
739	11987	4211
740	12007	4196
741	12025	4181
742	12040	4164
743	12057	4148
744	12070	4131
745	12083	4114
746	12098	4097
747	12113	4081
748	12129	4064
749	12144	4048
750	12159	4031
751	12175	4015
752	12190	3998
753	12205	3982
754	12220	3965
755	12235	3948
756	12249	3932
757	12265	3915
758	12280	3899
759	12295	3882
760	12309	3865
761	12325	3849
762	12340	3833
763	12354	3816
764	12369	3799
765	12383	3782
766	12398	3766
767	12413	3749
768	12428	3733
769	12443	3716
770	12459	3700
771	12474	3684
772	12488	3667
773	12503	3650
774	12518	3634
775	12533	3617
776	12548	3601
777	12563	3584
778	12578	3568
779	12594	3552
780	12608	3535
781	12622	3518
782	12637	3502
783	12652	3486
784	12666	3469
785	12682	3452
786	12698	3436
787	12714	3420
788	12730	3404
789	12745	3388
790	12760	3371
791	12775	3355
792	12790	3338
793	12803	3321
794	12818	3305
795	12834	3289
796	12848	3272
797	12863	3256
798	12878	3239
799	12894	3223
800	12909	3207
801	12925	3191
802	12940	3174
803	12955	3158
804	12969	3141
805	12983	3125
806	13000	3109
807	13016	3092
808	13028	3075
809	13044	3059
810	13060	3043
811	13072	3026
812	13087	3010
813	13102	2993
814	13117	2977
815	13130	2960
816	13146	2944
817	13161	2928
818	13176	2911
819	13190	2895
820	13204	2878
821	13217	2862
822	13231	2845
823	13246	2829
824	13261	2813
825	13274	2796
826	13289	2780
827	13303	2763
828	13319	2747
829	13334	2731
830	13348	2714
831	13365	2698
832	13380	2682
833	13395	2666
834	13410	2650
835	13424	2633
836	13437	2616
837	13451	2600
838	13466	2584
839	13480	2567
840	13496	2551
841	13511	2535
842	13525	2518
843	13538	2502
844	13552	2485
845	13566	2469
846	13580	2453
847	13594	2436
848	13608	2420
849	13622	2403
850	13636	2387
851	13650	2371
